Make_Model,Make,Model,Range,NY_Rebate,Base_MSRP,Federal_Credit,Fuel_Economy,Type
Volvo XC40,Volvo,XC40,223,$500 ,"$53,990 ","$7,500 ",85,Battery Electric Vehicle
Audi e-tron,Audi,e-tron,222,$500 ,"$65,900 ","$7,500 ",78,Battery Electric Vehicle
Hyundai Ioniq 5 58 kWh,Hyundai,Ioniq 5 58 kWh,220,"$2,000 ","$39,700 ","$7,500 ",110,Battery Electric Vehicle
Audi e-tron Sportback,Audi,e-tron Sportback,218,$500 ,"$69,100 ","$7,500 ",77,Battery Electric Vehicle
Ford Mustang Mach-E,Ford,Mustang Mach-E,211–305,$500 ,"$42,895 ","$7,500 ",95,Battery Electric Vehicle
Porsche Taycan,Porsche,Taycan,200,$500 ,"$82,700 ","$7,500 ",79,Battery Electric Vehicle
Hyundai Ioniq Electric,Hyundai,Ioniq Electric,170,"$1,000 ","$33,245 ","$7,500 ",133,Battery Electric Vehicle
"BMW i3 (2019, 2020. 2021)",BMW,"i3 (2019, 2020. 2021)",153,$500 ,"$44,450 ","$7,500 ",113,Battery Electric Vehicle
BMW i3s,BMW,i3s,153,$500 ,"$47,650 ","$7,500 ",113,Battery Electric Vehicle
Nissan Leaf 40 kWh,Nissan,Leaf 40 kWh,149,"$1,000 ","$27,400 ","$7,500 ",111,Battery Electric Vehicle
